Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.2,-31.403503,-5.627653,-27.176559,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.3,-31.271606,-6.518045,-27.717621,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.4,-31.171448,-6.37376,-27.430969,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.5,-31.273285,-5.934654,-27.780823,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.6,-30.398834,-4.877007,-29.244247,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.7,-30.863129,-3.370491,-29.129303,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.8,-31.06485,-2.000061,-29.700668,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.9,-31.025085,-1.590008,-29.542313,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.0,-30.601776,-1.644705,-29.785019,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.1,-30.670502,-1.576176,-30.411652,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.2,-31.722961,-0.630507,-29.619446,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.3,-32.69281,0.399597,-29.521103,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.4,-32.609772,-0.289917,-28.727051,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.5,-32.673401,-2.241234,-29.811508,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.6,-31.772552,-3.060205,-30.106094,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.7,-32.024689,-3.174496,-30.579895,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.8,-31.954559,-3.329895,-31.071686,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.9,-31.488495,-2.888285,-31.201416,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:30.0,-31.953033,-2.864216,-31.27475,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:30.1,-31.670258,-2.865673,-31.5858,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:30.2,-32.214233,-2.648664,-31.898712,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:30.3,-32.019257,-3.212416,-31.785583,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:30.4,-33.213837,-4.166573,-29.967575,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:30.5,-34.591339,-7.807035,-27.840973,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:30.6,-34.519379,-11.173681,-26.687347,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:30.7,-33.962158,-15.527472,-24.886475,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:30.8,-33.300964,-18.744909,-23.827805,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:30.9,-32.215118,-19.830069,-24.735367,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:01.1,-35.652802,10.05805,-25.951279,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:01.2,-35.746857,9.76265,-25.432098,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:01.3,-35.541626,9.663175,-25.380585,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:01.4,-35.112732,9.557862,-26.460388,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:01.5,-34.302612,9.291585,-26.591507,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:01.6,-33.595703,9.798672,-26.586624,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:01.7,-33.345062,10.079062,-26.376297,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:01.8,-32.96347,10.357513,-27.156021,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:01.9,-32.44931,10.396608,-26.900803,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:02.0,-31.497437,10.175875,-26.689835,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:02.1,-31.129456,9.175552,-26.384003,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:02.2,-31.349335,8.587001,-26.347961,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:02.3,-31.089386,8.081319,-25.622833,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:02.4,-30.768494,7.020206,-25.176315,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:02.5,-30.765503,4.824379,-25.355255,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:02.6,-30.860016,3.324257,-25.425507,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:02.7,-30.678925,2.691154,-25.628082,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:02.8,-30.440002,2.093672,-26.00441,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:02.9,-30.280151,1.533672,-26.013168,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:03.0,-29.943329,1.116301,-26.837112,
