Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,,,
stop1_ori,"""stop on point 1""",0,47:49.4,-90.339652,-9.652951,0.213972,,,
stop1_ori,"""stop on point 1""",0,47:49.5,-90.308789,-9.687219,0.212865,,,
stop1_ori,"""stop on point 1""",0,47:49.6,-90.311974,-9.717281,0.182846,,,
stop1_ori,"""stop on point 1""",0,47:49.7,-90.272788,-9.784754,0.169378,,,
stop1_ori,"""stop on point 1""",0,47:49.8,-90.320943,-9.761592,0.215436,,,
stop1_ori,"""stop on point 1""",0,47:49.9,-90.280621,-9.749185,0.17589,,,
stop1_ori,"""stop on point 1""",0,47:50.0,-90.256986,-9.724014,0.1851,,,
stop1_ori,"""stop on point 1""",0,47:50.1,-90.196731,-9.757787,0.183915,,,
stop1_ori,"""stop on point 1""",0,47:50.2,-90.161924,-9.813581,0.169004,,,
stop1_ori,"""stop on point 1""",0,47:50.3,-90.159086,-9.776182,0.172638,,,
stop1_ori,"""stop on point 1""",0,47:50.4,-90.198698,-9.723,0.14924,,,
stop1_ori,"""stop on point 1""",0,47:50.5,-90.273773,-9.697066,0.183512,,,
stop1_ori,"""stop on point 1""",0,47:50.6,-90.288998,-9.742073,0.191767,,,
stop1_ori,"""stop on point 1""",0,47:50.7,-90.264115,-9.807077,0.19476,,,
stop1_ori,"""stop on point 1""",0,47:50.8,-90.237844,-9.735215,0.216939,,,
stop1_ori,"""stop on point 1""",0,47:50.9,-90.150397,-9.700912,0.154761,,,
stop1_ori,"""stop on point 1""",0,47:51.0,-90.156522,-9.699061,0.155233,,,
stop1_ori,"""stop on point 1""",0,47:51.1,-90.15104,-9.719844,0.172135,,,
stop1_ori,"""stop on point 1""",0,47:51.2,-90.200623,-9.695835,0.156375,,,
stop1_ori,"""stop on point 1""",0,47:51.3,-90.189127,-9.653627,0.140914,,,
stop1_ori,"""stop on point 1""",0,47:51.4,-90.208921,-9.627956,0.156878,,,
stop1_ori,"""stop on point 1""",0,47:51.5,-90.210731,-9.664136,0.175706,,,
stop1_ori,"""stop on point 1""",0,47:51.6,-90.161916,-9.662863,0.177682,,,
stop1_ori,"""stop on point 1""",0,47:51.7,-90.11926,-9.558421,0.216117,,,
stop1_ori,"""stop on point 1""",0,47:51.8,-90.151435,-9.487393,0.205861,,,
stop1_ori,"""stop on point 1""",0,47:51.9,-90.219571,-9.522592,0.148595,,,
stop1_ori,"""stop on point 1""",0,47:52.0,-90.302673,-9.533725,0.155437,,,
stop1_ori,"""stop on point 1""",0,47:52.1,-90.347255,-9.593785,0.097216,,,
stop1_ori,"""stop on point 1""",0,47:52.2,-90.393798,-9.583499,0.082357,,,
stop1_ori,"""stop on point 1""",0,47:52.3,-90.386303,-9.557566,0.110481,,,
